#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  32
#! SET periodic_phi true
   -3.141592654 -120.091657434  -53.700313103
   -2.945243113 -128.700012086  -33.511962361
   -2.748893572 -133.185229388  -12.770908726
   -2.552544031 -134.055344889    2.487443123
   -2.356194490 -132.803035205    8.557371229
   -2.159844949 -131.298168612    5.447969181
   -1.963495408 -130.995408130   -2.676494816
   -1.767145868 -132.236928434   -9.125645883
   -1.570796327 -134.078932508   -8.107367680
   -1.374446786 -134.812662457    1.952465678
   -1.178097245 -132.927795212   17.635835809
   -0.981747704 -127.913707358   32.725862677
   -0.785398163 -120.464805872   41.681838969
   -0.589048623 -112.103102191   41.843538558
   -0.392699082 -104.584682512   33.268969759
   -0.196349541  -99.479184895   17.618502451
    0.000000000  -97.944187380   -2.567394929
    0.196349541 -100.527830452  -23.566237012
    0.392699082 -106.888082443  -39.993124485
    0.589048623 -115.513770754  -45.636428267
    0.785398163 -123.778341717  -35.931664112
    0.981747704 -128.583978186  -10.973689422
    1.178097245 -127.471633837   22.857008687
    1.374446786 -119.740426449   54.435739801
    1.570796327 -106.980648638   72.466350375
    1.767145868  -92.610714328   70.275535787
    1.963495408  -80.671668452   48.425413280
    2.159844949  -74.416458580   13.972551201
    2.356194490  -75.322084869  -22.712996352
    2.552544031  -82.825029906  -51.824946461
    2.748893572  -94.745674332  -67.016628322
    2.945243113 -108.111708563  -66.727754555
