#! FIELDS phi metad.bias der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  57
#! SET periodic_phi true
   -3.141592654  108.032318977   48.360170502
   -3.031361332  112.827054397   38.591218259
   -2.921130011  116.482510455   27.788547955
   -2.810898690  118.948326647   17.106620386
   -2.700667369  120.287395309    7.472113157
   -2.590436048  120.670516031   -0.214720746
   -2.480204727  120.340285921   -5.371596004
   -2.369973405  119.606893710   -7.673803917
   -2.259742084  118.769785291   -7.280169053
   -2.149510763  118.103929048   -4.640851974
   -2.039279442  117.811651846   -0.649590888
   -1.929048121  117.985231668    3.653811517
   -1.818816799  118.594641460    7.097433326
   -1.708585478  119.491408034    8.722918654
   -1.598354157  120.438487078    7.904801357
   -1.488122836  121.135535600    4.376399500
   -1.377891515  121.302561787   -1.550836559
   -1.267660194  120.714479215   -9.200206135
   -1.157428872  119.241131467  -17.507087211
   -1.047197551  116.869396062  -25.444283250
   -0.936966230  113.687968838  -32.014188300
   -0.826734909  109.893836394  -36.558522555
   -0.716503588  105.743400048  -38.576216439
   -0.606272266  101.504638403  -38.004820234
   -0.496040945   97.459763458  -34.876758369
   -0.385809624   93.888502616  -29.491163686
   -0.275578303   91.019476148  -22.120406540
   -0.165346982   89.058490709  -13.141721007
   -0.055115661   88.153470417   -2.968105740
    0.055115661   88.405523749    7.785902418
    0.165346982   89.847137510   18.410454347
    0.275578303   92.411624522   28.020161694
    0.385809624   95.934063334   35.642721579
    0.496040945  100.131895498   40.261703677
    0.606272266  104.627837626   40.955412353
    0.716503588  108.950761489   37.159846569
    0.826734909  112.613021454   28.671911918
    0.936966230  115.103959261   15.975952384
    1.047197551  116.017678921    0.091197340
    1.157428872  115.073800041  -17.349553932
    1.267660194  112.208046983  -34.545570776
    1.377891515  107.559001648  -49.481885597
    1.488122836  101.462216548  -60.491712647
    1.598354157   94.431739244  -66.168562977
    1.708585478   87.094460581  -65.962090155
    1.818816799   80.133541862  -59.688538291
    1.929048121   74.154477963  -48.175405205
    2.039279442   69.684038338  -32.540959533
    2.149510763   67.086445162  -14.411774087
    2.259742084   66.548692489    4.541470771
    2.369973405   68.058357957   22.585212148
    2.480204727   71.437969439   38.199804720
    2.590436048   76.350555672   50.285204126
    2.700667369   82.368625476   58.135456440
    2.810898690   89.010790606   61.564410268
    2.921130011   95.783571762   60.663197809
    3.031361332  102.259404026   56.037456245
