#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  32
#! SET periodic_phi true
   -3.141592654   14.471667767  -54.387794638
   -2.945243113    5.737535887  -34.066196233
   -2.748893572    1.171559133  -13.015106944
   -2.552544031    0.287689980    2.589802451
   -2.356194490    1.586624612    8.912337831
   -2.159844949    3.174203435    5.918372781
   -1.963495408    3.571697709   -2.193756966
   -1.767145868    2.421798487   -8.679148861
   -1.570796327    0.662102326   -7.714737795
   -1.374446786    0.000000000    2.298044453
   -1.178097245    1.951068570   17.982114859
   -0.981747704    7.040576309   33.169682629
   -0.785398163   14.594894325   42.326561276
   -0.589048623   23.106447461   42.721823413
   -0.392699082   30.813449737   34.285977208
   -0.196349541   36.115692255   18.570223773
    0.000000000   37.812615464   -1.896650888
    0.196349541   35.322541507  -23.283803616
    0.392699082   28.983560347  -40.032016845
    0.589048623   20.334591644  -45.794264517
    0.785398163   12.044281940  -36.008130139
    0.981747704    7.236921579  -10.919524235
    1.178097245    8.361417984   22.890885377
    1.374446786   16.076426996   54.199987846
    1.570796327   28.748419976   71.800766262
    1.767145868   42.948905945   69.249722659
    1.963495408   54.672056669   47.308310336
    2.159844949   60.722878722   13.049918027
    2.356194490   59.665523696  -23.333647481
    2.552544031   52.061607438  -52.261651443
    2.748893572   40.054980898  -67.484201582
    2.945243113   26.582602491  -67.344015581
